SystemCodeNumber,Timestamp,Occupancy,Capacity,BaselinePrice,Revenue
BHMBCCMKT01,2016-10-04 07:59:00,61,577,10.031715771230502,611.9346620450606
BHMBCCMKT01,2016-10-04 08:25:00,64,577,10.064991334488735,644.159445407279
BHMBCCMKT01,2016-10-04 08:59:00,80,577,10.106585788561524,808.526863084922
BHMBCCMKT01,2016-10-04 09:32:00,107,577,10.162218370883881,1087.3573656845754
BHMBCCMKT01,2016-10-04 09:59:00,150,577,10.240207972270364,1536.0311958405546
BHMBCCMKT01,2016-10-04 10:26:00,177,577,10.332235701906413,1828.8057192374351
BHMBCCMKT01,2016-10-04 10:59:00,219,577,10.446100519930676,2287.696013864818
BHMBCCMKT01,2016-10-04 11:25:00,247,577,10.574523396880416,2611.9072790294626
BHMBCCMKT01,2016-10-04 11:59:00,259,577,10.709185441941074,2773.679029462738
BHMBCCMKT01,2016-10-04 12:29:00,266,577,10.847487001733102,2885.431542461005
BHMBCCMKT01,2016-10-04 13:02:00,269,577,10.987348353552859,2955.596707105719
BHMBCCMKT01,2016-10-04 13:29:00,263,577,11.124090121317156,2925.635701906412
BHMBCCMKT01,2016-10-04 14:02:00,238,577,11.247833622183707,2676.9844020797223
BHMBCCMKT01,2016-10-04 14:29:00,215,577,11.35961871750433,2442.318024263431
BHMBCCMKT01,2016-10-04 14:57:00,192,577,11.459445407279027,2200.213518197573
BHMBCCMKT01,2016-10-04 15:30:00,165,577,11.545233968804157,1904.9636048526859
BHMBCCMKT01,2016-10-04 16:04:00,162,577,11.629462738301557,1883.9729636048523
BHMBCCMKT01,2016-10-04 16:31:00,143,577,11.70381282495667,1673.6452339688037
BHMBCCMKT01,2016-10-05 07:57:00,54,577,11.731889081455803,633.5220103986134
BHMBCCMKT01,2016-10-05 08:30:00,59,577,11.762564991334486,693.9913344887347
BHMBCCMKT01,2016-10-05 09:04:00,71,577,11.799480069324087,837.7630849220102
BHMBCCMKT01,2016-10-05 09:30:00,83,577,11.842634315424608,982.9386481802425
BHMBCCMKT01,2016-10-05 10:04:00,114,577,11.901906412478334,1356.8173310225302
BHMBCCMKT01,2016-10-05 10:30:00,128,577,11.9684575389948,1531.9625649913344
BHMBCCMKT01,2016-10-05 11:04:00,148,577,12.045407279029462,1782.7202772963603
BHMBCCMKT01,2016-10-05 11:30:00,162,577,12.129636048526862,1965.0010398613517
BHMBCCMKT01,2016-10-05 12:04:00,178,577,12.22218370883882,2175.54870017331
BHMBCCMKT01,2016-10-05 12:30:00,183,577,12.317331022530327,2254.07157712305
BHMBCCMKT01,2016-10-05 12:57:00,175,577,12.408318890814556,2171.4558058925472
BHMBCCMKT01,2016-10-05 13:30:00,179,577,12.501386481802424,2237.7481802426337
BHMBCCMKT01,2016-10-05 13:57:00,174,577,12.591854419410742,2190.982668977469
BHMBCCMKT01,2016-10-05 14:30:00,158,577,12.674003466204503,2002.4925476603116
BHMBCCMKT01,2016-10-05 14:57:00,145,577,12.749393414211436,1848.6620450606583
BHMBCCMKT01,2016-10-05 15:30:00,129,577,12.81646447140381,1653.3239168110915
BHMBCCMKT01,2016-10-05 16:04:00,121,577,12.879376083188905,1558.4045060658575
BHMBCCMKT01,2016-10-05 16:30:00,114,577,12.938648180242632,1475.00589254766
BHMBCCMKT01,2016-10-06 07:57:00,58,577,12.968804159445405,752.1906412478335
BHMBCCMKT01,2016-10-06 08:30:00,63,577,13.001559792027727,819.0982668977468
BHMBCCMKT01,2016-10-06 08:57:00,70,577,13.037954939341418,912.6568457538992
BHMBCCMKT01,2016-10-06 09:30:00,95,577,13.087348353552857,1243.2980935875214
BHMBCCMKT01,2016-10-06 10:03:00,135,577,13.15753899480069,1776.2677642980932
BHMBCCMKT01,2016-10-06 10:30:00,160,577,13.24072790294627,2118.516464471403
BHMBCCMKT01,2016-10-06 10:57:00,177,577,13.33275563258232,2359.8977469670704
BHMBCCMKT01,2016-10-06 11:30:00,191,577,13.432062391681105,2565.523916811091
BHMBCCMKT01,2016-10-06 12:04:00,199,577,13.535528596187172,2693.5701906412473
BHMBCCMKT01,2016-10-06 12:30:00,206,577,13.642634315424607,2810.382668977469
BHMBCCMKT01,2016-10-06 12:57:00,198,577,13.745580589254763,2721.624956672443
BHMBCCMKT01,2016-10-06 13:30:00,208,577,13.853726169844018,2881.5750433275557
BHMBCCMKT01,2016-10-06 13:57:00,200,577,13.957712305025993,2791.5424610051987
BHMBCCMKT01,2016-10-06 14:30:00,175,577,14.048700173310221,2458.5225303292887
BHMBCCMKT01,2016-10-06 15:04:00,158,577,14.130849220103983,2232.6741767764292
BHMBCCMKT01,2016-10-06 15:31:00,153,577,14.210398613518194,2174.1909878682836
BHMBCCMKT01,2016-10-06 16:04:00,135,577,14.280589254766028,1927.8795493934138
BHMBCCMKT01,2016-10-06 16:30:00,129,577,14.347660311958402,1850.8481802426338
BHMBCCMKT01,2016-10-07 08:03:00,58,577,14.377816291161174,833.9133448873481
BHMBCCMKT01,2016-10-07 08:30:00,61,577,14.409532062391676,878.9814558058922
BHMBCCMKT01,2016-10-07 09:04:00,75,577,14.448526863084917,1083.6395147313688
BHMBCCMKT01,2016-10-07 09:30:00,103,577,14.502079722703634,1493.7142114384742
BHMBCCMKT01,2016-10-07 09:57:00,128,577,14.5686308492201,1864.7847487001727
BHMBCCMKT01,2016-10-07 10:30:00,172,577,14.658058925476599,2521.186135181975
BHMBCCMKT01,2016-10-07 10:57:00,188,577,14.755805892547656,2774.0915077989594
BHMBCCMKT01,2016-10-07 11:30:00,199,577,14.859272097053722,2956.9951473136907
BHMBCCMKT01,2016-10-07 12:03:00,210,577,14.968457538994796,3143.376083188907
BHMBCCMKT01,2016-10-07 12:30:00,206,577,15.075563258232231,3105.5660311958395
BHMBCCMKT01,2016-10-07 13:04:00,200,577,15.179549393414206,3035.9098786828413
BHMBCCMKT01,2016-10-07 13:30:00,201,577,15.284055459272091,3072.09514731369
BHMBCCMKT01,2016-10-07 14:03:00,193,577,15.384402079722697,2969.1896013864807
BHMBCCMKT01,2016-10-07 14:30:00,181,577,15.478509532062386,2801.610225303292
BHMBCCMKT01,2016-10-07 15:04:00,172,577,15.567937608318886,2677.6852686308484
BHMBCCMKT01,2016-10-07 15:30:00,159,577,15.650606585788557,2488.4464471403808
BHMBCCMKT01,2016-10-07 15:57:00,158,577,15.732755632582318,2485.7753899480063
BHMBCCMKT01,2016-10-07 16:30:00,132,577,15.801386481802423,2085.78301559792
BHMBCCMKT01,2016-10-08 07:57:00,58,577,15.831542461005196,918.2294627383013
BHMBCCMKT01,2016-10-08 08:30:00,61,577,15.863258232235697,967.6587521663776
BHMBCCMKT01,2016-10-08 08:57:00,75,577,15.902253032928938,1192.6689774696704
BHMBCCMKT01,2016-10-08 09:30:00,104,577,15.956325823223565,1659.4578856152507
BHMBCCMKT01,2016-10-08 10:04:00,158,577,16.038474870017325,2534.0790294627373
BHMBCCMKT01,2016-10-08 10:30:00,191,577,16.137781629116112,3082.3162911611776
BHMBCCMKT01,2016-10-08 10:57:00,223,577,16.253726169844015,3624.5809358752153
BHMBCCMKT01,2016-10-08 11:30:00,254,577,16.385788561525125,4161.990294627381
BHMBCCMKT01,2016-10-08 12:04:00,306,577,16.544887348353548,5062.735528596186
BHMBCCMKT01,2016-10-08 12:30:00,320,577,16.711265164644708,5347.604852686307
BHMBCCMKT01,2016-10-08 13:04:00,348,577,16.892201039861344,5878.485961871748
BHMBCCMKT01,2016-10-08 13:30:00,357,577,17.07781629116117,6096.780415944538
BHMBCCMKT01,2016-10-08 14:03:00,395,577,17.283188908145572,6826.859618717501
BHMBCCMKT01,2016-10-08 14:30:00,400,577,17.491161178509522,6996.464471403809
BHMBCCMKT01,2016-10-08 14:57:00,395,577,17.696533795493924,6990.1308492201
BHMBCCMKT01,2016-10-08 15:30:00,406,577,17.907625649913335,7270.496013864814
BHMBCCMKT01,2016-10-08 16:04:00,381,577,18.105719237435,6898.279029462735
BHMBCCMKT01,2016-10-08 16:30:00,365,577,18.295493934142105,6677.8552859618685
BHMBCCMKT01,2016-10-09 08:04:00,42,577,18.31733102253032,769.3279029462734
BHMBCCMKT01,2016-10-09 08:30:00,42,577,18.339168110918532,770.2450606585784
BHMBCCMKT01,2016-10-09 09:04:00,43,577,18.361525129982656,789.5455805892542
BHMBCCMKT01,2016-10-09 09:30:00,43,577,18.38388214904678,790.5069324090116
BHMBCCMKT01,2016-10-09 09:57:00,50,577,18.409878682842272,920.4939341421136
BHMBCCMKT01,2016-10-09 10:30:00,64,577,18.443154246100505,1180.3618717504323
BHMBCCMKT01,2016-10-09 11:04:00,100,577,18.495147313691493,1849.5147313691493
BHMBCCMKT01,2016-10-09 11:30:00,126,577,18.56065857885614,2338.6429809358733
BHMBCCMKT01,2016-10-09 11:57:00,148,577,18.637608318890802,2758.366031195839
BHMBCCMKT01,2016-10-09 12:30:00,170,577,18.72599653379548,3183.4194107452317
BHMBCCMKT01,2016-10-09 13:04:00,189,577,18.824263431542448,3557.7857885615226
BHMBCCMKT01,2016-10-09 13:30:00,205,577,18.930849220103973,3880.8240901213144
BHMBCCMKT01,2016-10-09 14:03:00,208,577,19.038994800693228,3960.1109185441915
BHMBCCMKT01,2016-10-09 14:30:00,209,577,19.147660311958393,4001.861005199304
BHMBCCMKT01,2016-10-09 15:04:00,191,577,19.24696707105718,3676.1707105719215
BHMBCCMKT01,2016-10-09 15:30:00,180,577,19.34055459272096,3481.2998266897725
BHMBCCMKT01,2016-10-09 16:03:00,155,577,19.42114384748699,3010.277296360484
BHMBCCMKT01,2016-10-09 16:30:00,133,577,19.490294627383005,2592.2091854419396
BHMBCCMKT01,2016-10-10 08:04:00,54,577,19.518370883882138,1053.9920277296355
BHMBCCMKT01,2016-10-10 08:30:00,56,577,19.547487001733092,1094.6592720970532
BHMBCCMKT01,2016-10-10 09:04:00,65,577,19.581282495667235,1272.7833622183703
BHMBCCMKT01,2016-10-10 09:30:00,73,577,19.619237435008657,1432.2043327556319
BHMBCCMKT01,2016-10-10 10:03:00,92,577,19.667071057192366,1809.3705372616978
BHMBCCMKT01,2016-10-10 10:30:00,113,577,19.72582322357018,2229.0180242634306
BHMBCCMKT01,2016-10-10 10:57:00,144,577,19.800693240901204,2851.2998266897735
BHMBCCMKT01,2016-10-10 11:30:00,149,577,19.878162911611774,2961.846273830154
BHMBCCMKT01,2016-10-10 11:57:00,159,577,19.960831889081444,3173.7722703639497
BHMBCCMKT01,2016-10-10 12:30:00,171,577,20.0,3420.0
BHMBCCMKT01,2016-10-10 13:04:00,176,577,20.0,3520.0
BHMBCCMKT01,2016-10-10 13:30:00,172,577,20.0,3440.0
BHMBCCMKT01,2016-10-10 14:03:00,161,577,20.0,3220.0
BHMBCCMKT01,2016-10-10 14:30:00,154,577,20.0,3080.0
BHMBCCMKT01,2016-10-10 14:57:00,137,577,20.0,2740.0
BHMBCCMKT01,2016-10-10 15:30:00,129,577,20.0,2580.0
BHMBCCMKT01,2016-10-10 15:57:00,130,577,20.0,2600.0
BHMBCCMKT01,2016-10-10 16:30:00,114,577,20.0,2280.0
BHMBCCMKT01,2016-10-11 08:04:00,56,577,20.0,1120.0
BHMBCCMKT01,2016-10-11 08:30:00,64,577,20.0,1280.0
BHMBCCMKT01,2016-10-11 08:57:00,74,577,20.0,1480.0
BHMBCCMKT01,2016-10-11 09:30:00,93,577,20.0,1860.0
BHMBCCMKT01,2016-10-11 09:57:00,129,577,20.0,2580.0
BHMBCCMKT01,2016-10-11 10:30:00,167,577,20.0,3340.0
BHMBCCMKT01,2016-10-11 10:57:00,200,577,20.0,4000.0
BHMBCCMKT01,2016-10-11 11:30:00,219,577,20.0,4380.0
BHMBCCMKT01,2016-10-11 12:03:00,225,577,20.0,4500.0
BHMBCCMKT01,2016-10-11 12:30:00,221,577,20.0,4420.0
BHMBCCMKT01,2016-10-11 13:04:00,217,577,20.0,4340.0
BHMBCCMKT01,2016-10-11 13:31:00,217,577,20.0,4340.0
BHMBCCMKT01,2016-10-11 14:04:00,208,577,20.0,4160.0
BHMBCCMKT01,2016-10-11 14:30:00,191,577,20.0,3820.0
BHMBCCMKT01,2016-10-11 15:03:00,167,577,20.0,3340.0
BHMBCCMKT01,2016-10-11 15:33:00,159,577,20.0,3180.0
BHMBCCMKT01,2016-10-11 16:01:00,150,577,20.0,3000.0
BHMBCCMKT01,2016-10-11 16:26:00,127,577,20.0,2540.0
BHMBCCMKT01,2016-10-12 08:04:00,51,577,20.0,1020.0
BHMBCCMKT01,2016-10-12 08:31:00,57,577,20.0,1140.0
BHMBCCMKT01,2016-10-12 09:03:00,64,577,20.0,1280.0
BHMBCCMKT01,2016-10-12 09:26:00,73,577,20.0,1460.0
BHMBCCMKT01,2016-10-12 10:01:00,99,577,20.0,1980.0
BHMBCCMKT01,2016-10-12 10:31:00,112,577,20.0,2240.0
BHMBCCMKT01,2016-10-12 11:04:00,127,577,20.0,2540.0
BHMBCCMKT01,2016-10-12 11:31:00,128,577,20.0,2560.0
BHMBCCMKT01,2016-10-12 12:04:00,143,577,20.0,2860.0
BHMBCCMKT01,2016-10-12 12:31:00,158,577,20.0,3160.0
BHMBCCMKT01,2016-10-12 13:04:00,157,577,20.0,3140.0
BHMBCCMKT01,2016-10-12 13:34:00,164,577,20.0,3280.0
BHMBCCMKT01,2016-10-12 14:03:00,167,577,20.0,3340.0
BHMBCCMKT01,2016-10-12 14:34:00,159,577,20.0,3180.0
BHMBCCMKT01,2016-10-12 15:01:00,140,577,20.0,2800.0
BHMBCCMKT01,2016-10-12 15:30:00,128,577,20.0,2560.0
BHMBCCMKT01,2016-10-12 15:57:00,121,577,20.0,2420.0
BHMBCCMKT01,2016-10-12 16:31:00,111,577,20.0,2220.0
BHMBCCMKT01,2016-10-13 07:57:00,58,577,20.0,1160.0
BHMBCCMKT01,2016-10-13 08:31:00,65,577,20.0,1300.0
BHMBCCMKT01,2016-10-13 09:04:00,76,577,20.0,1520.0
BHMBCCMKT01,2016-10-13 09:31:00,97,577,20.0,1940.0
BHMBCCMKT01,2016-10-13 09:57:00,127,577,20.0,2540.0
BHMBCCMKT01,2016-10-13 10:31:00,166,577,20.0,3320.0
BHMBCCMKT01,2016-10-13 11:04:00,200,577,20.0,4000.0
BHMBCCMKT01,2016-10-13 11:31:00,220,577,20.0,4400.0
BHMBCCMKT01,2016-10-13 11:57:00,230,577,20.0,4600.0
BHMBCCMKT01,2016-10-13 12:31:00,231,577,20.0,4620.0
BHMBCCMKT01,2016-10-13 13:04:00,214,577,20.0,4280.0
BHMBCCMKT01,2016-10-13 13:31:00,203,577,20.0,4060.0
BHMBCCMKT01,2016-10-13 13:57:00,205,577,20.0,4100.0
BHMBCCMKT01,2016-10-13 14:31:00,181,577,20.0,3620.0
BHMBCCMKT01,2016-10-13 15:04:00,162,577,20.0,3240.0
BHMBCCMKT01,2016-10-13 15:31:00,144,577,20.0,2880.0
BHMBCCMKT01,2016-10-13 16:04:00,132,577,20.0,2640.0
BHMBCCMKT01,2016-10-13 16:31:00,130,577,20.0,2600.0
BHMBCCMKT01,2016-10-14 08:01:00,53,577,20.0,1060.0
BHMBCCMKT01,2016-10-14 08:27:00,57,577,20.0,1140.0
BHMBCCMKT01,2016-10-14 09:01:00,67,577,20.0,1340.0
BHMBCCMKT01,2016-10-14 09:27:00,100,577,20.0,2000.0
BHMBCCMKT01,2016-10-14 10:01:00,134,577,20.0,2680.0
BHMBCCMKT01,2016-10-14 10:27:00,157,577,20.0,3140.0
BHMBCCMKT01,2016-10-14 11:01:00,205,577,20.0,4100.0
BHMBCCMKT01,2016-10-14 11:27:00,220,577,20.0,4400.0
BHMBCCMKT01,2016-10-14 12:01:00,224,577,20.0,4480.0
BHMBCCMKT01,2016-10-14 12:27:00,213,577,20.0,4260.0
BHMBCCMKT01,2016-10-14 13:01:00,205,577,20.0,4100.0
BHMBCCMKT01,2016-10-14 13:27:00,201,577,20.0,4020.0
BHMBCCMKT01,2016-10-14 14:01:00,182,577,20.0,3640.0
BHMBCCMKT01,2016-10-14 14:34:00,174,577,20.0,3480.0
BHMBCCMKT01,2016-10-14 15:01:00,171,577,20.0,3420.0
BHMBCCMKT01,2016-10-14 15:27:00,161,577,20.0,3220.0
BHMBCCMKT01,2016-10-14 16:01:00,138,577,20.0,2760.0
BHMBCCMKT01,2016-10-14 16:34:00,134,577,20.0,2680.0
BHMBCCMKT01,2016-10-15 08:01:00,53,577,20.0,1060.0
BHMBCCMKT01,2016-10-15 08:34:00,63,577,20.0,1260.0
BHMBCCMKT01,2016-10-15 09:01:00,77,577,20.0,1540.0
BHMBCCMKT01,2016-10-15 09:27:00,101,577,20.0,2020.0
BHMBCCMKT01,2016-10-15 10:01:00,154,577,20.0,3080.0
BHMBCCMKT01,2016-10-15 10:27:00,171,577,20.0,3420.0
BHMBCCMKT01,2016-10-15 11:01:00,211,577,20.0,4220.0
BHMBCCMKT01,2016-10-15 11:27:00,239,577,20.0,4780.0
BHMBCCMKT01,2016-10-15 12:01:00,276,577,20.0,5520.0
BHMBCCMKT01,2016-10-15 12:27:00,297,577,20.0,5940.0
BHMBCCMKT01,2016-10-15 13:01:00,332,577,20.0,6640.0
BHMBCCMKT01,2016-10-15 13:34:00,352,577,20.0,7040.0
BHMBCCMKT01,2016-10-15 14:01:00,391,577,20.0,7820.0
BHMBCCMKT01,2016-10-15 14:27:00,409,577,20.0,8180.0
BHMBCCMKT01,2016-10-15 15:01:00,442,577,20.0,8840.0
BHMBCCMKT01,2016-10-15 15:27:00,428,577,20.0,8560.0
BHMBCCMKT01,2016-10-15 16:01:00,412,577,20.0,8240.0
BHMBCCMKT01,2016-10-15 16:27:00,393,577,20.0,7860.0
BHMBCCMKT01,2016-10-16 08:04:00,48,577,20.0,960.0
BHMBCCMKT01,2016-10-16 08:27:00,48,577,20.0,960.0
BHMBCCMKT01,2016-10-16 09:01:00,55,577,20.0,1100.0
BHMBCCMKT01,2016-10-16 09:27:00,57,577,20.0,1140.0
BHMBCCMKT01,2016-10-16 10:04:00,57,577,20.0,1140.0
BHMBCCMKT01,2016-10-16 10:34:00,56,577,20.0,1120.0
BHMBCCMKT01,2016-10-16 11:01:00,56,577,20.0,1120.0
BHMBCCMKT01,2016-10-16 11:27:00,56,577,20.0,1120.0
BHMBCCMKT01,2016-10-16 12:01:00,65,577,20.0,1300.0
BHMBCCMKT01,2016-10-16 12:27:00,105,577,20.0,2100.0
BHMBCCMKT01,2016-10-16 13:01:00,131,577,20.0,2620.0
BHMBCCMKT01,2016-10-16 13:27:00,146,577,20.0,2920.0
