SystemCodeNumber,Timestamp,Occupancy,Capacity,QueueLength,TrafficConditionNearby,IsSpecialDay,VehicleType,IsWeekend,IsOfficeHour,Model2Price,Model2Revenue
BHMBCCMKT01,2016-10-04 07:59:00,61,577,1,low,0,car,0,0,10.721141386974216,653.9896246054271
BHMBCCMKT01,2016-10-04 08:25:00,64,577,1,low,0,car,0,0,10.726601821504563,686.502516576292
BHMBCCMKT01,2016-10-04 08:59:00,80,577,2,low,0,car,0,0,11.28083592633457,902.4668741067655
BHMBCCMKT01,2016-10-04 09:32:00,107,577,2,low,0,car,0,1,11.960113981909474,1279.7321960643137
BHMBCCMKT01,2016-10-04 09:59:00,150,577,2,low,0,bike,0,1,11.933357852710785,1790.0036779066177
BHMBCCMKT01,2016-10-04 10:26:00,177,577,3,low,0,car,0,1,12.61263590828569,2232.436555766567
BHMBCCMKT01,2016-10-04 10:59:00,219,577,6,high,0,truck,0,1,13.739305566380189,3008.9079190372613
BHMBCCMKT01,2016-10-04 11:25:00,247,577,5,average,0,car,0,1,13.475202549595839,3328.375029750172
BHMBCCMKT01,2016-10-04 11:59:00,259,577,5,average,0,cycle,0,1,13.43403087323704,3479.413996168393
BHMBCCMKT01,2016-10-04 12:29:00,266,577,8,high,0,bike,0,1,14.665031233757993,3900.8983081796264
BHMBCCMKT01,2016-10-04 13:02:00,269,577,7,high,0,car,0,1,14.25040223842047,3833.3582021351067
BHMBCCMKT01,2016-10-04 13:29:00,263,577,7,high,0,car,0,1,14.239481369359781,3744.9836001416224
BHMBCCMKT01,2016-10-04 14:02:00,238,577,5,high,0,car,0,1,13.143754173603902,3128.2134933177285
BHMBCCMKT01,2016-10-04 14:29:00,215,577,3,average,0,truck,0,1,12.471756697402792,2681.4276899416004
BHMBCCMKT01,2016-10-04 14:57:00,192,577,3,average,0,bike,0,1,12.219848651069547,2346.210941005353
BHMBCCMKT01,2016-10-04 15:30:00,165,577,2,low,0,car,0,1,12.065682382829475,1990.8375931668634
BHMBCCMKT01,2016-10-04 16:04:00,162,577,1,low,0,bike,0,1,11.43008780349733,1851.6742241665675
BHMBCCMKT01,2016-10-04 16:31:00,143,577,2,average,0,car,0,1,11.710572123872712,1674.6118137137978
BHMBCCMKT01,2016-10-05 07:57:00,54,577,1,low,0,car,0,0,10.708400373070077,578.2536201457842
